,Year,Place of Info Breach,Method of Breach,Type of Breach,Name of Business,Organization Type,Summary of Events,Individuals Affected
3889,2010,Electronic Medical Record,lost / stolen media,Unknown,JP Morgan Chase,Financial,"The IT department turned on the switch to a BA HIE without notifying patients of the exchange or obtaining authorization.  The interface transmitted the PHI of 654 individuals. The PHI disclosed included patient names, addresses, dates of birth, social security numbers, other identifiers, diagnosis/conditions, medications, lab results, other treatment information and financial information. Following the breach, the CE revised the IT process, created a checklist that included notifying the affected departments and provided  additional training to IT and registration employees.  

",654
3904,2010,Paper,lost / stolen media,Unauthorized Access/Disclosure,Educational Credit Management Corporation,Financial,,1470
3907,2010,Paper,hacked,Unauthorized Access/Disclosure,Federal Reserve Bank of Cleveland,Financial,,1470
3909,2010,Paper,lost / stolen media,Unauthorized Access/Disclosure,JP Morgan Chase,Financial,,1470
3924,2010,Other,lost / stolen media,Improper Disposal,Educational Credit Management Corporation,Financial,,500
3927,2010,Other,hacked,Improper Disposal,Federal Reserve Bank of Cleveland,Financial,,500
3929,2010,Other,lost / stolen media,Improper Disposal,JP Morgan Chase,Financial,,500
3944,2010,Paper,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,1388
3947,2010,Paper,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,1388
3949,2010,Paper,lost / stolen media,Theft,JP Morgan Chase,Financial,,1388
3964,2010,Network Server,lost / stolen media,"Unauthorized Access/Disclosure, Hacking/IT Incident",Educational Credit Management Corporation,Financial,,11387
3967,2010,Network Server,hacked,"Unauthorized Access/Disclosure, Hacking/IT Incident",Federal Reserve Bank of Cleveland,Financial,,11387
3969,2010,Network Server,lost / stolen media,"Unauthorized Access/Disclosure, Hacking/IT Incident",JP Morgan Chase,Financial,,11387
3984,2010,Paper,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,7500
3987,2010,Paper,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,7500
3989,2010,Paper,lost / stolen media,Theft,JP Morgan Chase,Financial,,7500
4004,2010,Other,lost / stolen media,Unauthorized Access/Disclosure,Educational Credit Management Corporation,Financial,,19651
4007,2010,Other,hacked,Unauthorized Access/Disclosure,Federal Reserve Bank of Cleveland,Financial,,19651
4009,2010,Other,lost / stolen media,Unauthorized Access/Disclosure,JP Morgan Chase,Financial,,19651
4024,2010,Paper,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,"OCR opened an investigation of the covered entity (CE), Dr. Pedro Valentin, after it reported boxes containing the protected health information (PHI) of 2,000 individuals were moved from the CE's office.  The PHI included names, account numbers, responsible party in charge of account, and method of payment.  OCR's investigation revealed that the individual who removed the PHI was the CE's wife and business partner.  The CE advised OCR that he knew his wife/partner was removing the boxes for the purpose of ascertaining the amount of monies the CE was receiving and that he is in the process of dissolving the partnership.  OCR concluded that the actions alleged in the breach report did not amount to a breach.",2000
4027,2010,Paper,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,"OCR opened an investigation of the covered entity (CE), Dr. Pedro Valentin, after it reported boxes containing the protected health information (PHI) of 2,000 individuals were moved from the CE's office.  The PHI included names, account numbers, responsible party in charge of account, and method of payment.  OCR's investigation revealed that the individual who removed the PHI was the CE's wife and business partner.  The CE advised OCR that he knew his wife/partner was removing the boxes for the purpose of ascertaining the amount of monies the CE was receiving and that he is in the process of dissolving the partnership.  OCR concluded that the actions alleged in the breach report did not amount to a breach.",2000
4029,2010,Paper,lost / stolen media,Theft,JP Morgan Chase,Financial,"OCR opened an investigation of the covered entity (CE), Dr. Pedro Valentin, after it reported boxes containing the protected health information (PHI) of 2,000 individuals were moved from the CE's office.  The PHI included names, account numbers, responsible party in charge of account, and method of payment.  OCR's investigation revealed that the individual who removed the PHI was the CE's wife and business partner.  The CE advised OCR that he knew his wife/partner was removing the boxes for the purpose of ascertaining the amount of monies the CE was receiving and that he is in the process of dissolving the partnership.  OCR concluded that the actions alleged in the breach report did not amount to a breach.",2000
4044,2010,Paper,lost / stolen media,"Theft, Unauthorized Access/Disclosure",Educational Credit Management Corporation,Financial,,1423
4047,2010,Paper,hacked,"Theft, Unauthorized Access/Disclosure",Federal Reserve Bank of Cleveland,Financial,,1423
4049,2010,Paper,lost / stolen media,"Theft, Unauthorized Access/Disclosure",JP Morgan Chase,Financial,,1423
4064,2010,Other,lost / stolen media,Unauthorized Access/Disclosure,Educational Credit Management Corporation,Financial,,15000
4067,2010,Other,hacked,Unauthorized Access/Disclosure,Federal Reserve Bank of Cleveland,Financial,,15000
4069,2010,Other,lost / stolen media,Unauthorized Access/Disclosure,JP Morgan Chase,Financial,,15000
4084,2010,Electronic Medical Record,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,12937
4087,2010,Electronic Medical Record,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,12937
4089,2010,Electronic Medical Record,lost / stolen media,Theft,JP Morgan Chase,Financial,,12937
4104,2010,Network Server,lost / stolen media,Hacking/IT Incident,Educational Credit Management Corporation,Financial,,4125
4107,2010,Network Server,hacked,Hacking/IT Incident,Federal Reserve Bank of Cleveland,Financial,,4125
4109,2010,Network Server,lost / stolen media,Hacking/IT Incident,JP Morgan Chase,Financial,,4125
4124,2010,Network Server,lost / stolen media,Unauthorized Access/Disclosure,Educational Credit Management Corporation,Financial,,1382
4127,2010,Network Server,hacked,Unauthorized Access/Disclosure,Federal Reserve Bank of Cleveland,Financial,,1382
4129,2010,Network Server,lost / stolen media,Unauthorized Access/Disclosure,JP Morgan Chase,Financial,,1382
4144,2010,Desktop Computer,lost / stolen media,Unauthorized Access/Disclosure,Educational Credit Management Corporation,Financial,,10680
4147,2010,Desktop Computer,hacked,Unauthorized Access/Disclosure,Federal Reserve Bank of Cleveland,Financial,,10680
4149,2010,Desktop Computer,lost / stolen media,Unauthorized Access/Disclosure,JP Morgan Chase,Financial,,10680
4164,2010,Desktop Computer,lost / stolen media,Unauthorized Access/Disclosure,Educational Credit Management Corporation,Financial,,2500
4167,2010,Desktop Computer,hacked,Unauthorized Access/Disclosure,Federal Reserve Bank of Cleveland,Financial,,2500
4169,2010,Desktop Computer,lost / stolen media,Unauthorized Access/Disclosure,JP Morgan Chase,Financial,,2500
4184,2010,Network Server,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,398000
